source_point_code,record_kinds,rows,matricole,exact_candidates,strip_suffix_candidates,dotted_candidates,alpha_suffix_candidates,meter_candidates,notes
2_1_16,meter_reading,1,,28_1D_1L:2_1_16 | 28_1D_2L:2_1_16,,,,,ambiguous_subdistrict
2_1_2,operator_activity,1,,28_1D_1L:2_1_2 | 28_1D_2L:2_1_2,,,,,ambiguous_subdistrict | operator_activity
2_1_4,operator_activity,1,,28_1D_1L:2_1_4 | 28_1D_2L:2_1_4,,,,,ambiguous_subdistrict | operator_activity
2_1_5,operator_activity,1,,28_1D_1L:2_1_5 | 28_1D_2L:2_1_5,,,,,ambiguous_subdistrict | operator_activity
2_1_7,operator_activity,1,,28_1D_1L:2_1_7 | 28_1D_2L:2_1_7,,,,,ambiguous_subdistrict | operator_activity
3_2_2,operator_activity,1,,28_1D_1L:3_2_2 | 28_1D_2L:3_2_2,,,,,ambiguous_subdistrict | operator_activity
3_2_3,meter_reading,1,,28_1D_1L:3_2_3 | 28_1D_2L:3_2_3,,,,,ambiguous_subdistrict
3_2_4,meter_reading,1,,28_1D_1L:3_2_4 | 28_1D_2L:3_2_4,,,,,ambiguous_subdistrict
3_2_6,meter_reading,1,,28_1D_1L:3_2_6 | 28_1D_2L:3_2_6,,,,,ambiguous_subdistrict
3_2_8,operator_activity,1,,28_1D_1L:3_2_8 | 28_1D_2L:3_2_8,,,,,ambiguous_subdistrict | operator_activity
5_1_1,operator_activity,1,,28_1D_1L:5_1_1 | 28_1D_2L:5_1_1,,,,,ambiguous_subdistrict | operator_activity
5_2_1,operator_activity,1,,28_1D_1L:5_2_1 | 28_1D_2L:5_2_1,,,,,ambiguous_subdistrict | operator_activity
5_2_3,operator_activity,1,,28_1D_1L:5_2_3 | 28_1D_2L:5_2_3,,,,,ambiguous_subdistrict | operator_activity
5_2_4,operator_activity,1,,28_1D_1L:5_2_4 | 28_1D_2L:5_2_4,,,,,ambiguous_subdistrict | operator_activity
7_1_8,meter_reading,1,,28_1D_1L:7_1_8 | 28_1D_2L:7_1_8,,,,,ambiguous_subdistrict
7_1_9,operator_activity,1,,28_1D_1L:7_1_9 | 28_1D_2L:7_1_9,,,,,ambiguous_subdistrict | operator_activity
7_2_1,operator_activity,1,,28_1D_1L:7_2_1 | 28_1D_2L:7_2_1,,,,,ambiguous_subdistrict | operator_activity
8_1_6,operator_activity,1,,28_1D_1L:8_1_6 | 28_1D_2L:8_1_6,,,,,ambiguous_subdistrict | operator_activity
8_1_7,operator_activity,1,,28_1D_1L:8_1_7 | 28_1D_2L:8_1_7,,,,,ambiguous_subdistrict | operator_activity
8_2_1,operator_activity,1,,28_1D_1L:8_2_1 | 28_1D_2L:8_2_1,,,,,ambiguous_subdistrict | operator_activity
8_2_9,operator_activity,1,,28_1D_1L:8_2_9 | 28_1D_2L:8_2_9,,,,,ambiguous_subdistrict | operator_activity
9_1_15,meter_reading,1,,28_1D_1L:9_1_15 | 28_1D_2L:9_1_15,,,,,ambiguous_subdistrict
C_B4_1.1,meter_reading,1,,,,,,,
C_B4_1.2,meter_reading,1,,,,,,,
C_B4_1A,meter_reading,1,585,,,,,,
W1-11_6,meter_reading,1,,,,,,,
W1-1_1.1,meter_reading,1,,,,,,,
W1-1_1.2,meter_reading,1,,,,,,,
W5_3,operator_activity,1,,,,,,,operator_activity
